date,snp500,spy,qqq,dia,iwm,voo
2023-12-07,105.93,106.03,115.75,107.54,93.32,105.99
2023-12-06,105.09,105.23,114.16,107.36,92.65,105.16
2023-12-05,105.51,105.65,114.82,107.56,92.82,105.60
2023-12-04,105.57,105.67,114.53,107.78,94.08,105.64
2023-12-03,105.57,105.67,114.53,107.78,94.08,105.64
2023-12-02,105.57,105.67,114.53,107.78,94.08,105.64
2023-12-01,106.14,106.23,115.61,107.90,93.08,106.17
2023-11-30,105.52,105.61,115.28,106.99,90.44,105.55
2023-11-29,105.12,105.19,115.57,105.40,90.09,105.14
2023-11-28,105.22,105.27,115.68,105.24,89.62,105.21
2023-11-27,105.12,105.16,115.38,105.01,89.97,105.11
2023-11-26,105.12,105.16,115.38,105.01,89.97,105.11
2023-11-25,105.12,105.16,115.38,105.01,89.97,105.11
2023-11-24,105.32,105.35,115.48,105.15,90.27,105.29
2023-11-23,105.32,105.35,115.48,105.15,90.27,105.29
2023-11-22,105.26,105.29,115.64,104.78,89.67,105.23
2023-11-21,104.84,104.88,115.17,104.26,89.11,104.78
2023-11-20,105.05,105.11,115.84,104.47,90.27,105.06
2023-11-19,105.05,105.11,115.84,104.47,90.27,105.06
2023-11-18,105.05,105.11,115.84,104.47,90.27,105.06
2023-11-17,104.28,104.31,114.45,103.85,89.75,104.27
2023-11-16,104.14,104.18,114.42,104.03,88.53,104.12
2023-11-15,104.02,104.05,114.33,104.10,89.99,103.97
2023-11-14,103.85,103.83,114.24,103.55,89.83,103.74
2023-11-13,101.91,101.86,111.83,102.11,85.16,101.79
2023-11-12,101.91,101.86,111.83,102.11,85.16,101.79
2023-11-11,101.91,101.86,111.83,102.11,85.16,101.79
2023-11-10,102.00,101.95,112.18,101.94,85.13,101.89
2023-11-09,100.43,100.39,109.72,100.78,84.18,100.33
2023-11-08,101.25,101.18,110.57,101.38,85.51,101.09
2023-11-07,101.14,101.10,110.50,101.51,86.43,101.01
2023-11-06,100.86,100.81,109.46,101.36,86.74,100.72
2023-11-05,100.86,100.81,109.46,101.36,86.74,100.72
2023-11-04,100.86,100.81,109.46,101.36,86.74,100.72
2023-11-03,100.68,100.58,109.02,101.23,87.83,100.53
2023-11-02,99.74,99.67,107.75,100.57,85.51,99.61
2023-11-01,97.90,97.80,105.83,98.87,83.29,97.75
2023-10-31,96.88,96.77,104.02,98.22,82.81,96.69
2023-10-30,96.26,96.16,103.53,97.85,82.11,96.10
2023-10-29,96.26,96.16,103.53,97.85,82.11,96.10
2023-10-28,96.26,96.16,103.53,97.85,82.11,96.10
2023-10-27,95.11,95.03,102.37,96.35,81.65,94.96
2023-10-26,95.57,95.46,101.89,97.43,82.62,95.38
2023-10-25,96.72,96.62,103.87,98.18,82.41,96.57
2023-10-24,98.12,98.02,106.47,98.51,83.80,97.95
2023-10-23,97.42,97.29,105.45,97.87,83.07,97.22
2023-10-22,97.42,97.29,105.45,97.87,83.07,97.22
2023-10-21,97.42,97.29,105.45,97.87,83.07,97.22
2023-10-20,97.58,97.46,105.13,98.43,83.78,97.40
2023-10-19,98.82,98.67,106.72,99.30,84.88,98.62
2023-10-18,99.67,99.55,107.73,100.05,86.25,99.47
2023-10-17,101.02,100.89,109.16,101.05,88.07,100.82
2023-10-16,101.03,100.90,109.52,101.02,87.09,100.81
2023-10-15,101.03,100.90,109.52,101.02,87.09,100.81
2023-10-14,101.03,100.90,109.52,101.02,87.09,100.81
2023-10-13,99.97,99.84,108.30,100.06,85.71,99.77
2023-10-12,100.48,100.34,109.67,99.94,86.43,100.30
2023-10-11,101.11,100.96,110.06,100.46,88.43,100.90
2023-10-10,100.68,100.55,109.28,100.29,88.58,100.48
2023-10-09,100.16,100.03,108.67,99.89,87.59,99.96
2023-10-08,100.16,100.03,108.67,99.89,87.59,99.96
2023-10-07,100.16,100.03,108.67,99.89,87.59,99.96
2023-10-06,99.53,99.39,108.12,99.30,87.08,99.30
2023-10-05,98.37,98.23,106.34,98.42,86.25,98.13
2023-10-04,98.50,98.26,106.66,98.37,86.19,98.21
2023-10-03,97.70,97.55,105.22,98.07,86.15,97.50
2023-10-02,99.06,98.88,107.10,99.29,87.62,98.82
2023-10-01,99.06,98.88,107.10,99.29,87.62,98.82
2023-09-30,99.06,98.88,107.10,99.29,87.62,98.82
2023-09-29,99.06,98.91,106.22,99.55,88.97,98.83
2023-09-28,99.33,99.16,106.14,100.04,89.39,99.07
2023-09-27,98.74,98.58,105.26,99.69,88.59,98.87
2023-09-26,98.72,98.54,105.01,99.87,87.77,98.85
2023-09-25,100.20,100.01,106.61,101.04,89.33,100.32
2023-09-24,100.20,100.01,106.61,101.04,89.33,100.32
2023-09-23,100.20,100.01,106.61,101.04,89.33,100.32
2023-09-22,99.80,99.60,106.11,100.92,88.93,99.90
2023-09-21,100.03,99.82,106.10,101.22,89.13,100.15
2023-09-20,101.69,101.50,108.08,102.33,90.54,101.81
2023-09-19,102.66,102.44,109.66,102.56,91.45,102.78
2023-09-18,102.88,102.65,109.89,102.88,91.81,102.98
2023-09-17,102.88,102.65,109.89,102.88,91.81,102.98
2023-09-16,102.88,102.65,109.89,102.88,91.81,102.98
2023-09-15,102.81,102.59,109.93,102.87,92.42,102.87
2023-09-14,104.07,104.21,111.85,104.00,93.40,104.17
2023-09-13,103.20,103.32,110.94,103.00,92.10,103.27
2023-09-12,103.07,103.20,110.52,103.19,92.71,103.15
2023-09-11,103.66,103.77,111.76,103.24,92.80,103.71
2023-09-10,103.66,103.77,111.76,103.24,92.80,103.71
2023-09-09,103.66,103.77,111.76,103.24,92.80,103.71
2023-09-08,102.97,103.09,110.46,102.98,92.58,103.03
2023-09-07,102.82,102.93,110.31,102.74,92.79,102.89
2023-09-06,103.16,103.25,111.10,102.54,93.69,103.20
2023-09-05,103.88,103.95,112.09,103.12,94.05,103.92
2023-09-04,103.88,103.95,112.09,103.12,94.05,103.92
2023-09-03,103.88,103.95,112.09,103.12,94.05,103.92
2023-09-02,103.88,103.95,112.09,103.12,94.05,103.92
2023-09-01,104.32,104.40,111.94,103.72,96.07,104.37
2023-08-31,104.13,104.21,112.06,103.37,94.94,104.15
2023-08-30,104.30,104.36,111.73,103.84,95.11,104.28
2023-08-29,103.90,103.93,111.11,103.61,94.75,103.85
2023-08-28,102.41,102.45,108.73,102.75,93.45,102.40
2023-08-27,102.41,102.45,108.73,102.75,93.45,102.40
2023-08-26,102.41,102.45,108.73,102.75,93.45,102.40
2023-08-25,101.78,101.80,107.92,102.09,92.62,101.73
2023-08-24,101.10,101.09,107.09,101.36,92.23,101.06
2023-08-23,102.48,102.51,109.43,102.48,93.52,102.42
2023-08-22,101.36,101.38,107.73,101.93,92.53,101.33
2023-08-21,101.64,101.66,107.89,102.44,92.81,101.61
2023-08-20,101.64,101.66,107.89,102.44,92.81,101.61
2023-08-19,101.64,101.66,107.89,102.44,92.81,101.61
2023-08-18,100.94,101.00,106.18,102.57,92.95,100.94
2023-08-17,100.96,100.95,106.31,102.55,92.44,100.85
2023-08-16,101.74,101.73,107.48,103.36,93.55,101.67
2023-08-15,102.52,102.48,108.63,103.91,94.70,102.43
2023-08-14,103.72,103.69,109.80,104.98,95.97,103.62
2023-08-13,103.72,103.69,109.80,104.98,95.97,103.62
2023-08-12,103.72,103.69,109.80,104.98,95.97,103.62
2023-08-11,103.12,103.12,108.58,104.91,96.14,103.04
2023-08-10,103.23,103.18,109.28,104.58,96.00,103.13
2023-08-09,103.21,103.14,109.08,104.40,96.43,103.07
2023-08-08,103.94,103.84,110.29,104.92,97.19,103.76
2023-08-07,104.38,104.29,111.23,105.39,97.81,104.21
2023-08-06,104.38,104.29,111.23,105.39,97.81,104.21
2023-08-05,104.38,104.29,111.23,105.39,97.81,104.21
2023-08-04,103.45,103.39,110.30,104.21,97.74,103.28
2023-08-03,104.00,103.86,110.82,104.61,97.94,103.79
2023-08-02,104.26,104.16,111.00,104.84,98.21,104.08
2023-08-01,105.73,105.63,113.49,105.86,99.57,105.55
2023-07-31,106.01,105.93,113.75,105.68,100.03,105.87
2023-07-30,106.01,105.93,113.75,105.68,100.03,105.87
2023-07-29,106.01,105.93,113.75,105.68,100.03,105.87
2023-07-28,105.85,105.73,113.69,105.35,98.88,105.67
2023-07-27,104.82,104.70,111.66,104.84,97.61,104.65
2023-07-26,105.50,105.40,111.92,105.58,98.89,105.37
2023-07-25,105.51,105.38,112.30,105.31,98.12,105.34
2023-07-24,105.22,105.10,111.54,105.23,98.13,105.03
2023-07-23,105.22,105.10,111.54,105.23,98.13,105.03
2023-07-22,105.22,105.10,111.54,105.23,98.13,105.03
2023-07-21,104.79,104.63,111.36,104.66,97.89,104.59
2023-07-20,104.76,104.63,111.70,104.74,98.20,104.58
2023-07-19,105.47,105.33,114.33,104.23,99.06,105.26
2023-07-18,105.22,105.10,114.36,103.90,98.65,105.04
2023-07-17,104.48,104.32,113.43,102.79,97.44,104.25
2023-07-16,104.48,104.32,113.43,102.79,97.44,104.25
2023-07-15,104.48,104.32,113.43,102.79,97.44,104.25
2023-07-14,104.08,103.96,112.38,102.59,96.41,103.88
2023-07-13,104.19,104.02,112.41,102.21,97.36,103.97
2023-07-12,103.31,103.20,110.53,102.13,96.58,103.13
2023-07-11,102.55,102.38,109.15,101.83,95.54,102.32
2023-07-10,101.86,101.73,108.62,100.92,94.57,101.67
2023-07-09,101.86,101.73,108.62,100.92,94.57,101.67
2023-07-08,101.86,101.73,108.62,100.92,94.57,101.67
2023-07-07,101.62,101.48,108.58,100.29,92.98,101.40
2023-07-06,101.91,101.73,108.94,100.82,92.01,101.63
2023-07-05,102.72,102.54,109.78,101.88,93.52,102.47
2023-07-04,102.72,102.54,109.78,101.88,93.52,102.47
2023-07-03,102.93,102.69,109.78,102.26,94.46,102.70
2023-07-02,102.93,102.69,109.78,102.26,94.46,102.70
2023-07-01,102.93,102.69,109.78,102.26,94.46,102.70
2023-06-30,102.81,102.57,109.52,102.19,94.27,102.50
2023-06-29,101.56,101.37,107.86,101.39,93.82,101.30
2023-06-28,101.11,100.98,108.08,100.64,92.75,101.31
2023-06-27,101.14,100.93,107.87,100.82,92.30,101.27
2023-06-26,100.00,99.83,106.04,100.20,90.98,100.16
2023-06-25,100.00,99.83,106.04,100.20,90.98,100.16
2023-06-24,100.00,99.83,106.04,100.20,90.98,100.16
2023-06-23,100.45,100.24,107.48,100.21,90.89,100.57
2023-06-22,101.22,101.00,108.56,100.85,92.28,101.33
2023-06-21,100.85,100.64,107.29,100.88,92.97,100.96
2023-06-20,101.38,101.16,108.78,101.19,93.19,101.52
2023-06-19,101.38,101.16,108.78,101.19,93.19,101.52
2023-06-18,101.38,101.16,108.78,101.19,93.19,101.52
2023-06-17,101.38,101.16,108.78,101.19,93.19,101.52
2023-06-16,101.86,101.69,109.08,101.93,93.60,101.99
2023-06-15,102.24,102.41,109.77,102.47,94.35,102.37
2023-06-14,101.01,101.16,108.48,101.17,93.58,101.07
2023-06-13,100.93,101.04,107.70,101.83,94.60,100.99
2023-06-12,100.23,100.38,106.88,101.40,93.53,100.33
2023-06-11,100.23,100.38,106.88,101.40,93.53,100.33
2023-06-10,100.23,100.38,106.88,101.40,93.53,100.33
2023-06-09,99.31,99.47,105.10,100.83,93.14,99.42
2023-06-08,99.19,99.30,104.70,100.70,93.90,99.25
2023-06-07,98.58,98.70,103.42,100.21,94.25,98.66
2023-06-06,98.96,99.04,105.20,99.91,92.78,98.99
2023-06-05,98.73,98.83,105.22,99.90,90.40,98.78
2023-06-04,98.73,98.83,105.22,99.90,90.40,98.78
2023-06-03,98.73,98.83,105.22,99.90,90.40,98.78
2023-06-02,98.93,99.02,105.14,100.48,91.62,98.97
2023-06-01,97.51,97.61,104.36,98.36,88.42,97.54
2023-05-31,96.56,96.69,103.17,97.93,87.47,96.61
2023-05-30,97.15,97.23,103.76,98.23,88.34,97.14
2023-05-29,97.15,97.23,103.76,98.23,88.34,97.14
2023-05-28,97.15,97.23,103.76,98.23,88.34,97.14
2023-05-27,97.15,97.23,103.76,98.23,88.34,97.14
2023-05-26,97.15,97.19,103.29,98.33,88.67,97.11
2023-05-25,95.90,95.95,100.72,97.41,87.67,95.87
2023-05-24,95.06,95.12,98.32,97.49,88.36,95.04
2023-05-23,95.77,95.82,98.83,98.26,89.31,95.76
2023-05-22,96.85,96.90,100.10,98.94,89.73,96.84
2023-05-21,96.85,96.90,100.10,98.94,89.73,96.84
2023-05-20,96.85,96.90,100.10,98.94,89.73,96.84
2023-05-19,96.84,96.86,99.77,99.32,88.65,96.79
2023-05-18,96.98,97.01,99.99,99.88,89.19,96.94
2023-05-17,96.07,96.08,98.17,99.45,88.65,96.00
2023-05-16,94.94,94.93,96.99,98.18,86.72,94.87
2023-05-15,95.55,95.57,96.88,99.20,88.00,95.50
2023-05-14,95.55,95.57,96.88,99.20,88.00,95.50
2023-05-13,95.55,95.57,96.88,99.20,88.00,95.50
2023-05-12,95.27,95.24,96.36,99.03,86.94,95.17
2023-05-11,95.42,95.36,96.71,99.07,87.12,95.30
2023-05-10,95.58,95.53,96.39,99.71,87.79,95.43
2023-05-09,95.16,95.09,95.36,99.79,87.35,95.02
2023-05-08,95.59,95.50,95.97,99.93,87.61,95.43
2023-05-07,95.59,95.50,95.97,99.93,87.61,95.43
2023-05-06,95.59,95.50,95.97,99.93,87.61,95.43
2023-05-05,95.55,95.48,95.73,100.08,87.81,95.38
2023-05-04,93.82,93.74,93.74,98.47,85.77,93.66
2023-05-03,94.50,94.41,94.07,99.30,86.75,94.35
2023-05-02,95.17,95.06,94.69,100.12,86.43,95.01
2023-05-01,96.28,96.15,95.52,101.16,88.24,96.09
2023-04-30,96.28,96.15,95.52,101.16,88.24,96.09
2023-04-29,96.28,96.15,95.52,101.16,88.24,96.09
2023-04-28,96.32,96.24,95.63,101.36,88.19,96.15
2023-04-27,95.53,95.43,94.97,100.51,87.43,95.34
2023-04-26,93.70,93.57,92.46,98.95,86.27,93.48
2023-04-25,94.06,93.96,91.90,99.66,87.11,93.90
2023-04-24,95.57,95.48,93.67,100.68,89.32,95.41
2023-04-23,95.57,95.48,93.67,100.68,89.32,95.41
2023-04-22,95.57,95.48,93.67,100.68,89.32,95.41
2023-04-21,95.49,95.38,93.87,100.49,89.38,95.28
2023-04-20,95.40,95.31,93.77,100.44,89.26,95.23
2023-04-19,95.97,95.83,94.49,100.75,89.73,95.77
2023-04-18,95.98,95.84,94.53,100.99,89.61,95.77
2023-04-17,95.90,95.78,94.53,101.03,89.99,95.71
2023-04-16,95.90,95.78,94.53,101.03,89.99,95.71
2023-04-15,95.90,95.78,94.53,101.03,89.99,95.71
2023-04-14,95.58,95.44,94.45,100.70,88.85,95.38
2023-04-13,95.78,95.67,94.62,101.16,89.69,95.58
2023-04-12,94.53,94.42,92.81,100.04,88.51,94.35
2023-04-11,94.92,94.81,93.63,100.13,89.17,94.73
2023-04-10,94.92,94.78,94.24,99.85,88.47,94.72
2023-04-09,94.92,94.78,94.24,99.85,88.47,94.72
2023-04-08,94.92,94.78,94.24,99.85,88.47,94.72
2023-04-07,94.92,94.78,94.24,99.85,88.47,94.72
2023-04-06,94.83,94.68,94.29,99.53,87.53,94.62
2023-04-05,94.49,94.31,93.66,99.51,87.40,94.26
2023-04-04,94.73,94.56,94.60,99.25,88.27,94.49
2023-04-03,95.28,95.09,94.92,99.83,89.84,95.02
2023-04-02,95.28,95.09,94.92,99.83,89.84,95.02
2023-04-01,95.28,95.09,94.92,99.83,89.84,95.02
2023-03-31,94.93,94.73,95.15,98.86,89.80,94.65
2023-03-30,93.58,93.41,93.59,97.63,88.18,93.34
2023-03-29,93.05,92.87,92.71,97.21,88.30,92.79
2023-03-28,91.74,91.54,91.05,96.24,87.31,91.49
2023-03-27,91.88,91.74,91.54,96.39,87.44,91.65
2023-03-26,91.88,91.74,91.54,96.39,87.44,91.65
2023-03-25,91.88,91.74,91.54,96.39,87.44,91.65
2023-03-24,91.73,91.57,92.17,95.79,86.47,91.50
2023-03-23,91.22,90.98,91.83,95.35,85.70,91.27
2023-03-22,90.95,90.73,90.76,95.16,86.40,91.05
2023-03-21,92.47,92.30,92.01,96.78,88.92,92.59
2023-03-20,91.28,91.11,90.71,95.79,87.31,91.39
2023-03-19,91.28,91.11,90.71,95.79,87.31,91.39
2023-03-18,91.28,91.11,90.71,95.79,87.31,91.39
2023-03-17,90.48,90.24,90.53,94.66,86.19,90.57
2023-03-16,91.49,91.66,90.96,96.07,88.58,91.57
2023-03-15,89.91,90.08,88.62,94.97,87.39,90.03
2023-03-14,90.54,90.64,88.16,95.76,88.86,90.59
2023-03-13,89.07,89.17,86.18,94.75,87.24,89.11
2023-03-12,89.07,89.17,86.18,94.75,87.24,89.11
2023-03-11,89.07,89.17,86.18,94.75,87.24,89.11
2023-03-10,89.21,89.30,85.55,95.02,88.68,89.26
2023-03-09,90.52,90.60,86.77,96.02,91.32,90.56
2023-03-08,92.22,92.31,88.30,97.63,93.93,92.25
2023-03-07,92.09,92.16,87.86,97.74,93.88,92.11
2023-03-06,93.52,93.59,88.95,99.47,94.99,93.55
2023-03-05,93.52,93.59,88.95,99.47,94.99,93.55
2023-03-04,93.52,93.59,88.95,99.47,94.99,93.55
2023-03-03,93.46,93.53,88.85,99.33,96.40,93.44
2023-03-02,91.97,92.05,87.05,98.21,95.07,91.98
2023-03-01,91.28,91.34,86.33,97.19,94.85,91.30
2023-02-28,91.71,91.69,87.03,97.06,94.72,91.64
2023-02-27,91.99,92.03,87.14,97.80,94.72,91.98
2023-02-26,91.99,92.03,87.14,97.80,94.72,91.98
2023-02-25,91.99,92.03,87.14,97.80,94.72,91.98
2023-02-24,91.71,91.72,86.53,97.52,94.39,91.67
2023-02-23,92.69,92.71,88.00,98.57,95.28,92.66
2023-02-22,92.20,92.22,87.24,98.23,94.60,92.20
2023-02-21,92.34,92.35,87.17,98.45,94.35,92.31
2023-02-20,92.34,92.35,87.17,98.45,94.35,92.31
2023-02-19,92.34,92.35,87.17,98.45,94.35,92.31
2023-02-18,92.34,92.35,87.17,98.45,94.35,92.31
2023-02-17,94.23,94.24,89.29,100.54,97.22,94.18
2023-02-16,94.49,94.47,89.92,100.27,96.95,94.43
2023-02-15,95.81,95.79,91.64,101.54,97.89,95.76
2023-02-14,95.55,95.48,90.94,101.39,96.90,95.44
2023-02-13,95.57,95.52,90.28,101.81,96.95,95.47
2023-02-12,95.57,95.52,90.28,101.81,96.95,95.47
2023-02-11,95.57,95.52,90.28,101.81,96.95,95.47
2023-02-10,94.49,94.42,88.85,100.67,95.80,94.38
2023-02-09,94.29,94.20,89.44,100.18,95.61,94.15
2023-02-08,95.13,95.02,90.24,100.88,97.01,94.97
2023-02-07,96.19,96.07,91.87,101.50,98.45,96.02
2023-02-06,94.97,94.83,90.01,100.60,97.72,94.80
2023-02-05,94.97,94.83,90.01,100.60,97.72,94.80
2023-02-04,94.97,94.83,90.01,100.60,97.72,94.80
2023-02-03,95.56,95.41,90.77,100.75,99.16,95.35
2023-02-02,96.56,96.44,92.42,101.18,99.83,96.38
2023-02-01,95.16,95.06,89.21,101.31,97.90,95.01
2023-01-31,94.17,94.06,87.35,101.30,96.39,93.99
2023-01-30,92.81,92.69,86.06,100.18,94.10,92.67
2023-01-29,92.81,92.69,86.06,100.18,94.10,92.67
2023-01-28,92.81,92.69,86.06,100.18,94.10,92.67
2023-01-27,94.03,93.87,87.83,100.93,95.43,93.84
2023-01-26,93.80,93.66,86.97,100.86,94.92,93.57
2023-01-25,92.78,92.64,85.30,100.25,94.36,92.59
2023-01-24,92.79,92.60,85.49,100.19,94.10,92.55
2023-01-23,92.86,92.70,85.67,99.91,94.30,92.65
2023-01-22,92.86,92.70,85.67,99.91,94.30,92.65
2023-01-21,92.86,92.70,85.67,99.91,94.30,92.65
2023-01-20,91.77,91.60,83.81,99.17,93.14,91.54
2023-01-19,90.07,89.93,81.57,98.26,91.63,89.88
2023-01-18,90.76,90.59,82.38,98.96,92.52,90.53
2023-01-17,92.19,92.04,83.47,100.80,94.04,92.03
2023-01-16,92.19,92.04,83.47,100.80,94.04,92.03
2023-01-15,92.19,92.04,83.47,100.80,94.04,92.03
2023-01-14,92.19,92.04,83.47,100.80,94.04,92.03
2023-01-13,92.38,92.21,83.30,101.95,94.16,92.17
2023-01-12,92.01,91.85,82.73,101.64,93.54,91.81
2023-01-11,91.70,91.52,82.29,100.98,92.00,91.47
2023-01-10,90.54,90.38,80.89,100.23,90.86,90.32
